outcome,step,n_feats,ols_r2,rf_r2,delta_rf_r2
log_shares,Step 0: Popularity only,1,0.7561102481419387,0.7760986588877898,0.7760986588877898
log_shares,Step 1: + Visual emotion,25,0.7588509081217494,0.7839471931428964,0.007848534255106565
log_shares,Step 2: + Audio emotion,14,0.7593688509374501,0.781269681119059,-0.0026775120238373695
log_shares,Step 3: Full model (all),38,0.7618415495903554,0.7864381809867059,0.005168499867646892
log_comments,Step 0: Popularity only,1,0.6133636741687756,0.6046112527970042,0.6046112527970042
log_comments,Step 1: + Visual emotion,25,0.6160511944490972,0.6108303583149118,0.006219105517907608
log_comments,Step 2: + Audio emotion,14,0.6177841595360054,0.6190362187279964,0.008205860413084576
log_comments,Step 3: Full model (all),38,0.6206021616488054,0.6175478830341349,-0.001488335693861531
